Fees,School,County,Sat2015,Uni2015,Progression,UCD,TCD,DCU,UL,Maynooth,NUIG,UCC,St Angelas,QUB,UU,Blanch.IT,NatColIrl,Dublin.IT,Tallaght.IT,Athlone.IT,Cork.IT,Dundalk.IT,GM.IT,IADT,Carlow.IT,Sligo.IT,Tralee.IT,Letterkenny.IT,Limerick.IT,W.IT,Marino,CoICollEd,MaryI,NCAD,RCSI,SCHM
No,"Pobailscoil na Trionóide, Parkmountain, Youghal, Co Cork",Cork,139,113,0.81294964,0,0,1,5,0,0,39,0,0,0,0,0,1,0,0,29,0,0,0,1,0,3,0,1,30,0,0,3,0,0,0
No,"Coláiste Ghobnatan, Baile Bhuirne, Maigh Cromtha, Co. Chorcai",Cork,31,25,0.806451613,0,1,1,4,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
No,"Boherbue Comprehensive School, Boherbue, Mallow, Co. Cork",Cork,56,45,0.803571429,2,0,1,7,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,1,0,0,8,0,0,2
No,"Christian Brothers School, Rosary Place, Midleton, Co Cork",Cork,103,82,0.796116505,0,0,1,6,0,1,37,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
No,"Coláiste Daibhéid, Teach Buckingham, Sraid An Mhuilinn Na Sabhadoirea, Corcaigh",Cork,33,26,0.787878788,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Coláiste an Chraoibhin, Duntaheen, Fermoy, Co. Cork",Cork,75,58,0.773333333,3,0,0,4,1,1,20,1,0,0,0,0,1,0,1,16,0,1,0,1,0,2,0,2,3,0,0,1,0,0,0
Yes,"Bandon Grammar School, Bandon, Co Cork",Cork,97,75,0.773195876,4,5,1,4,0,5,24,0,0,0,0,0,2,0,1,17,0,2,2,2,0,3,0,0,0,1,1,0,0,0,1
No,"Nagle Rice Secondary School, Doneraile, Mallow, Co Cork",Cork,21,16,0.761904762,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
No,"Bishopstown Community School, Westgate Road, Bishopstown, Cork",Cork,21,16,0.761904762,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Douglas Community School, Douglas Road, Cork City",Cork,92,70,0.760869565,0,0,0,0,0,1,32,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
Yes,"Midleton College, Connolly Street, Midleton, Co. Cork",Cork,54,41,0.759259259,6,3,1,4,0,0,20,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
No,"St Mary's Secondary School, Charleville, Co Cork",Cork,70,53,0.757142857,2,1,0,15,0,1,13,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,1,3,0,0,10,0,0,0
No,"St Peter's Community School, Passage West, Cork",Cork,44,33,0.75,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
No,"Christ The King Sec School, Half Moon Lane, South Douglas Road, Cork",Cork,171,128,0.748538012,0,0,0,2,0,2,82,0,0,0,1,0,0,0,1,32,0,0,1,1,0,1,0,1,2,0,0,2,0,0,0
No,"Coláiste Cholmain, Mainistir Fhear Muighe, Co Chorcai",Cork,71,53,0.746478873,0,1,0,8,0,1,17,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
No,"Maria Immaculata Comm. College, Dunmanway, Co. Cork",Cork,75,55,0.733333333,0,0,0,5,0,2,20,0,0,0,0,0,0,0,0,21,0,0,0,2,0,1,0,1,1,0,0,1,0,1,0
No,"Gairm Scoil Bhrogain Naofa, Droichead Na Banndan, Co Chorcai",Cork,60,44,0.733333333,0,0,1,6,0,0,12,0,0,0,0,0,0,0,1,18,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0
No,"Scoil Phobail Bhéara, Castletownbere, Co.Cork",Cork,55,40,0.727272727,2,0,2,2,0,0,14,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
No,"Deerpark C.B.S., St. Patrick's Road, Cork",Cork,29,21,0.724137931,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
No,"Coláiste Pobail Bheanntraí, Seskin, Bantry, Co. Cork",Cork,117,81,0.692307692,2,0,1,11,2,5,10,0,0,0,0,0,1,0,0,25,0,0,1,0,0,10,0,5,4,0,0,3,0,0,1
No,"St Mary's High School, Castleredmond, Midleton, Co. Cork",Cork,84,58,0.69047619,2,1,1,2,0,0,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0
No,"Schull Community College, Colla Road, Schull, Co Cork",Cork,72,48,0.666666667,2,3,0,7,2,0,19,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,4,0,0,0,2,0,0
No,"Coláiste Pobail Naomh Mhuire, Cill Na Mullach, Co. Corcaigh",Cork,29,19,0.655172414,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0
No,"Christian Brothers Secondary School, Bakers Road, Charleville, Co. Cork",Cork,62,40,0.64516129,1,0,0,4,0,1,12,0,0,0,0,0,0,0,1,8,0,1,0,1,0,0,0,7,1,0,0,3,0,0,0
No,"Cork College of Commerce, Morrisons Island, Cork",Cork,141,90,0.638297872,1,0,1,4,1,2,46,0,0,0,0,0,0,0,0,29,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0
No,"Scoil Mhuire Gan Smal, Blarney, Co. Cork",Cork,88,56,0.636363636,0,0,0,4,0,1,16,1,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
No,"Presentation Sec School, Joe Murphy Road, Ballyphehane, Cork City",Cork,41,26,0.634146341,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
No,"St Aidan's Community College, Dublin Hill, Ballincollie  Road, Co. Cork",Cork,78,46,0.58974359,0,0,0,0,1,0,17,0,0,0,0,0,0,0,1,24,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
No,"Coláiste Muire, Bishop Street, Cobh, Co Cork",Cork,99,57,0.575757576,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0
No,"North Presentation Sec. School, Farranree, Cork",Cork,30,17,0.566666667,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
No,"St Aloysius School, St Maries Of The Isle, Sharmon, CrBGford Street",Cork,51,28,0.549019608,1,2,1,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"St. Fanahan's College, Mitchelstown, Co. Cork",Cork,31,17,0.548387097,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,7,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0
No,"Mayfield Community School, Old Youghal Road, Mayfield, Cork City",Cork,31,17,0.548387097,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Carrignafoy Community College, Cobh, Co. Cork",Cork,14,7,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"St. Colman's Community College, Midleton, Co. Cork",Cork,85,41,0.482352941,0,0,1,2,0,1,9,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0
No,"St Patrick's College, Gardiner's Hill, Cork",Cork,49,23,0.469387755,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
No,"St Vincent's Secondary School, St Mary's Road, Cork City",Cork,42,16,0.380952381,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
No,"An Mhainistir Thuaidh, North Monastery Secondary School, North Monastery Road, Cork",Cork,41,14,0.341463415,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
No,"Rossa College, Skibbereen, Co Cork",Cork,15,5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
